Data from QEB16911__2__11-41-24-186.txt Node

Date: Tue Dec 17 11:41:24 CET 2024
User: micha
Spectrometer: QEB1691
Trigger mode: 0
Integration Time (sec): 3.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
199.633	1.38
200.439	1.38
201.245	5.38
202.052	6.38
202.858	2.38
203.664	5.38
204.47	3.38
205.276	2.38
206.082	2.38
206.888	3.38
207.694	5.38
208.5	1.38
209.305	2.38
210.111	4.38
210.917	5.38
211.722	4.38
212.528	5.38
213.333	5.38
214.139	6.38
214.944	5.38
215.75	5.38
216.555	3.38
217.36	2.38
218.165	5.38
218.97	4.38
219.775	3.38
220.58	2.38
221.385	5.38
222.19	5.38
222.995	6.38
223.8	5.38
224.604	5.38
225.409	5.38
226.214	4.38
227.018	6.38
227.823	5.38
228.627	3.38
229.432	4.38
230.236	1.38
231.04	6.38
231.844	3.38
232.648	7.38
233.452	7.38
234.256	4.38
235.06	6.38
235.864	3.38
236.668	4.38
237.472	4.38
238.276	2.38
239.079	1.38
239.883	3.38
240.687	6.38
241.49	4.38
242.294	4.38
243.097	5.38
243.9	7.38
244.704	4.38
245.507	6.38
246.31	2.38
247.113	1.38
247.916	4.38
248.719	7.38
249.522	2.38
250.325	4.38
251.128	5.38
251.93	5.38
252.733	3.38
253.536	5.38
254.338	7.38
255.141	5.38
255.943	-0.62
256.746	5.38
257.548	2.38
258.35	1.38
259.153	6.38
259.955	5.38
260.757	1.38
261.559	4.38
262.361	6.38
263.163	10.38
263.965	9.38
264.767	5.38
265.568	4.38
266.37	6.38
267.172	5.38
267.973	3.38
268.775	2.38
269.576	6.38
270.378	2.38
271.179	4.38
271.98	2.38
272.782	5.38
273.583	2.38
274.384	4.38
275.185	3.38
275.986	6.38
276.787	5.38
277.588	8.38
278.389	4.38
279.189	5.38
279.99	8.38
280.791	7.38
281.591	3.38
282.392	3.38
