Date	21-01-20
Spectrometer	QEB1691
Lamp SN	F1402-5
Int. Time(usec)	750000
Average	0
	0
Fiber (micron)	 3900 
	
[uJoule/count]
199.63250	0.0000000E+00
200.43890	0.0000000E+00
201.24530	0.0000000E+00
202.05150	0.0000000E+00
202.85770	1.5741940E-03
203.66390	1.4606148E-03
204.47000	1.3712479E-03
205.27610	1.2885596E-03
206.08210	1.2115508E-03
206.88800	1.1405596E-03
207.69390	1.0738747E-03
208.49970	1.0110275E-03
209.30550	9.5281341E-04
210.11120	8.9920139E-04
210.91690	8.4915676E-04
211.72250	8.0337913E-04
212.52800	7.6112410E-04
213.33350	7.2262621E-04
214.13890	6.8747272E-04
214.94430	6.5509760E-04
215.74960	6.2530828E-04
216.55490	5.9804232E-04
217.36010	5.7336044E-04
218.16530	5.5018929E-04
218.97040	5.2826897E-04
219.77540	5.0751858E-04
220.58040	4.8727435E-04
221.38530	4.6765052E-04
222.19020	4.4901720E-04
222.99500	4.3049976E-04
223.79980	4.1259399E-04
224.60450	3.9510979E-04
225.40910	3.7854953E-04
226.21370	3.6269733E-04
227.01820	3.4750617E-04
227.82270	3.3280437E-04
228.62710	3.1871919E-04
229.43150	3.0540299E-04
230.23580	2.9279319E-04
231.04010	2.8051295E-04
231.84420	2.6908174E-04
232.64840	2.5840715E-04
233.45250	2.4856126E-04
234.25650	2.3938929E-04
235.06040	2.3091917E-04
235.86440	2.2334460E-04
236.66820	2.1638767E-04
237.47200	2.1002411E-04
238.27570	2.0412476E-04
239.07940	1.9866002E-04
239.88300	1.9354020E-04
240.68660	1.8888053E-04
241.49010	1.8454011E-04
242.29350	1.8043203E-04
243.09690	1.7664318E-04
243.90030	1.7309759E-04
244.70350	1.6979607E-04
245.50680	1.6678962E-04
246.30990	1.6394163E-04
247.11300	1.6129988E-04
247.91610	1.5878201E-04
248.71910	1.5645494E-04
249.52200	1.5426288E-04
250.32490	1.5227806E-04
251.12770	1.5052964E-04
251.93040	1.4891552E-04
252.73310	1.4741153E-04
253.53580	1.4599146E-04
254.33840	1.4466097E-04
255.14090	1.4351520E-04
255.94330	1.4257170E-04
256.74580	1.4170140E-04
257.54810	1.4092355E-04
258.35040	1.4022026E-04
259.15260	1.3955289E-04
259.95480	1.3895419E-04
260.75690	1.3853271E-04
261.55900	1.3815531E-04
262.36100	1.3780926E-04
263.16290	1.3746225E-04
263.96480	1.3708541E-04
264.76660	1.3671318E-04
265.56840	1.3654048E-04
266.37010	1.3640215E-04
267.17170	1.3622656E-04
267.97330	1.3605383E-04
268.77490	1.3575375E-04
269.57630	1.3538488E-04
270.37770	1.3504797E-04
271.17910	1.3473709E-04
271.98040	1.3428929E-04
272.78160	1.3376249E-04
273.58280	1.3316080E-04
274.38390	1.3240121E-04
275.18500	1.3155888E-04
275.98600	1.3074643E-04
276.78690	1.2984278E-04
277.58780	1.2891972E-04
278.38860	1.2787791E-04
279.18940	1.2681134E-04
279.99010	1.2563833E-04
280.79070	1.2468344E-04
281.59130	1.2364383E-04
282.39180	1.2257723E-04
283.19230	1.2152603E-04
283.99270	1.2046577E-04
284.79310	1.1936600E-04
285.59330	1.1839661E-04
286.39360	1.1743718E-04
287.19370	1.1650627E-04
287.99390	1.1551094E-04
288.79390	1.1451792E-04
289.59390	1.1351469E-04
290.39380	1.1259672E-04
291.19370	1.1182322E-04
291.99350	1.1100383E-04
292.79320	1.1026259E-04
293.59290	1.0958160E-04
294.39260	1.0895301E-04
295.19210	1.0842315E-04
295.99160	1.0800740E-04
296.79110	1.0765150E-04
297.59050	1.0735760E-04
298.38980	1.0706959E-04
299.18910	1.0682442E-04
299.98830	1.0651747E-04
300.78740	1.0649703E-04
301.58650	1.0644959E-04
302.38550	1.0636849E-04
303.18450	1.0619821E-04
303.98340	1.0592503E-04
304.78230	1.0559837E-04
305.58100	1.0522571E-04
306.37980	1.0478224E-04
307.17840	1.0434005E-04
307.97700	1.0386446E-04
308.77560	1.0337563E-04
309.57410	1.0289503E-04
310.37250	1.0249940E-04
311.17080	1.0229597E-04
311.96910	1.0216695E-04
312.76740	1.0214423E-04
313.56550	1.0224121E-04
314.36370	1.0251024E-04
315.16170	1.0280746E-04
315.95970	1.0302409E-04
316.75760	1.0319437E-04
317.55550	1.0325944E-04
318.35330	1.0327467E-04
319.15110	1.0323955E-04
319.94870	1.0312496E-04
320.74640	1.0299755E-04
321.54390	1.0275830E-04
322.34140	1.0239962E-04
323.13890	1.0183469E-04
323.93630	1.0119489E-04
324.73360	1.0055580E-04
325.53080	9.9866496E-05
326.32800	9.9101509E-05
327.12520	9.8316472E-05
327.92220	9.7716827E-05
328.71920	9.7313394E-05
329.51620	9.6905274E-05
330.31310	9.6481348E-05
331.10990	9.6029582E-05
331.90670	9.5522782E-05
332.70340	9.4941737E-05
333.50000	9.4399184E-05
334.29660	9.3996608E-05
335.09310	9.3777040E-05
335.88950	9.3660367E-05
336.68590	9.3305980E-05
337.48230	9.2738440E-05
338.27850	9.2217717E-05
339.07470	9.1784303E-05
339.87090	9.1428959E-05
340.66700	9.1200899E-05
341.46300	9.1083746E-05
342.25890	9.1019703E-05
343.05480	9.0940448E-05
343.85060	9.0846860E-05
344.64640	9.0808517E-05
345.44210	9.0795332E-05
346.23780	9.0735897E-05
347.03330	9.0669726E-05
347.82880	9.0538752E-05
348.62430	9.0417584E-05
349.41970	9.0259258E-05
350.21500	9.0101083E-05
351.01030	9.0064614E-05
351.80550	9.0060201E-05
352.60060	9.0024155E-05
353.39570	8.9878572E-05
354.19070	8.9713068E-05
354.98570	8.9539012E-05
355.78050	8.9476201E-05
356.57540	8.9392044E-05
357.37010	8.9243083E-05
358.16480	8.9102897E-05
358.95950	8.8927042E-05
359.75400	8.8701530E-05
360.54850	8.8412830E-05
361.34300	8.8049922E-05
362.13740	8.7608288E-05
362.93170	8.7057428E-05
363.72590	8.6464970E-05
364.52010	8.5872390E-05
365.31420	8.5423353E-05
366.10830	8.5139253E-05
366.90230	8.4820717E-05
367.69620	8.4516200E-05
368.49010	8.4199713E-05
369.28390	8.3821172E-05
370.07770	8.3369538E-05
370.87130	8.3008222E-05
371.66500	8.2609192E-05
372.45850	8.2189415E-05
373.25200	8.1604331E-05
374.04540	8.0886168E-05
374.83880	8.0043364E-05
375.63210	7.9533593E-05
376.42530	7.9032037E-05
377.21850	7.8516318E-05
378.01160	7.7968387E-05
378.80460	7.7432053E-05
379.59760	7.6884444E-05
380.39050	7.6355276E-05
381.18340	7.5852129E-05
381.97610	7.5330874E-05
382.76890	7.4793784E-05
383.56150	7.4240995E-05
