Data from QEB16911__0__11-28-48-284.txt Node

Date: Tue Dec 17 11:28:48 CET 2024
User: micha
Spectrometer: QEB1691
Trigger mode: 0
Integration Time (sec): 3.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
199.633	2.12
200.439	3.12
201.245	3.12
202.052	7.12
202.858	5.12
203.664	4.12
204.47	5.12
205.276	5.12
206.082	3.12
206.888	3.12
207.694	4.12
208.5	4.12
209.305	2.12
210.111	8.12
210.917	6.12
211.722	6.12
212.528	6.12
213.333	5.12
214.139	6.12
214.944	5.12
215.75	5.12
216.555	3.12
217.36	1.12
218.165	3.12
218.97	2.12
219.775	2.12
220.58	5.12
221.385	4.12
222.19	6.12
222.995	7.12
223.8	7.12
224.604	3.12
225.409	4.12
226.214	4.12
227.018	3.12
227.823	5.12
228.627	2.12
229.432	8.12
230.236	4.12
231.04	6.12
231.844	4.12
232.648	3.12
233.452	6.12
234.256	1.12
235.06	4.12
235.864	2.12
236.668	3.12
237.472	4.12
238.276	4.12
239.079	4.12
239.883	3.12
240.687	2.12
241.49	3.12
242.294	4.12
243.097	3.12
243.9	2.12
244.704	6.12
245.507	5.12
246.31	4.12
247.113	3.12
247.916	4.12
248.719	6.12
249.522	1.12
250.325	3.12
251.128	6.12
251.93	2.12
252.733	0.12
253.536	2.12
254.338	5.12
255.141	3.12
255.943	4.12
256.746	10.12
257.548	4.12
258.35	2.12
259.153	5.12
259.955	3.12
260.757	2.12
261.559	2.12
262.361	3.12
263.163	10.12
263.965	8.12
264.767	4.12
265.568	6.12
266.37	7.12
267.172	6.12
267.973	5.12
268.775	3.12
269.576	7.12
270.378	2.12
271.179	2.12
271.98	2.12
272.782	4.12
273.583	6.12
274.384	3.12
275.185	6.12
275.986	8.12
276.787	5.12
277.588	7.12
278.389	2.12
279.189	3.12
279.99	7.12
280.791	4.12
281.591	4.12
282.392	14.12
