Data from QEB16911__3__11-42-24-180.txt Node

Date: Tue Dec 17 11:42:24 CET 2024
User: micha
Spectrometer: QEB1691
Trigger mode: 0
Integration Time (sec): 3.000000E0
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
199.633	2.25
200.439	5.25
201.245	3.25
202.052	3.25
202.858	3.25
203.664	8.25
204.47	5.25
205.276	3.25
206.082	2.25
206.888	3.25
207.694	4.25
208.5	4.25
209.305	3.25
210.111	5.25
210.917	6.25
211.722	6.25
212.528	2.25
213.333	5.25
214.139	3.25
214.944	4.25
215.75	3.25
216.555	2.25
217.36	5.25
218.165	5.25
218.97	3.25
219.775	2.25
220.58	4.25
221.385	6.25
222.19	5.25
222.995	7.25
223.8	6.25
224.604	6.25
225.409	5.25
226.214	5.25
227.018	7.25
227.823	6.25
228.627	6.25
229.432	9.25
230.236	3.25
231.04	6.25
231.844	3.25
232.648	3.25
233.452	5.25
234.256	4.25
235.06	3.25
235.864	3.25
236.668	4.25
237.472	3.25
238.276	6.25
239.079	3.25
239.883	4.25
240.687	2.25
241.49	7.25
242.294	4.25
243.097	5.25
243.9	6.25
244.704	4.25
245.507	4.25
246.31	0.25
247.113	1.25
247.916	5.25
248.719	7.25
249.522	3.25
250.325	2.25
251.128	3.25
251.93	5.25
252.733	7.25
253.536	5.25
254.338	4.25
255.141	6.25
255.943	3.25
256.746	6.25
257.548	5.25
258.35	2.25
259.153	6.25
259.955	7.25
260.757	1.25
261.559	5.25
262.361	4.25
263.163	8.25
263.965	7.25
264.767	1.25
265.568	4.25
266.37	2.25
267.172	8.25
267.973	4.25
268.775	5.25
269.576	7.25
270.378	2.25
271.179	4.25
271.98	4.25
272.782	3.25
273.583	5.25
274.384	3.25
275.185	4.25
275.986	6.25
276.787	8.25
277.588	7.25
278.389	7.25
279.189	5.25
279.99	7.25
280.791	10.25
281.591	5.25
282.392	1.25
283.192	3.25
283.993	5.25
284.793	4.25
285.593	7.25
286.394	5.25
287.194	8.25
287.994	5.25
288.794	4.25
289.594	9.25
290.394	2.25
291.194	3.25
291.993	7.25
292.793	5.25
293.593	4.25
294.393	6.25
295.192	7.25
295.992	3.25
296.791	4.25
297.59	0.25
298.39	2.25
299.189	5.25
299.988	7.25
300.787	2.25
301.587	4.25
302.386	5.25
303.185	5.25
303.983	7.25
304.782	3.25
305.581	3.25
306.38	4.25
307.178	5.25
307.977	6.25
308.776	0.25
309.574	5.25
310.372	4.25
311.171	4.25
311.969	4.25
312.767	6.25
313.566	8.25
314.364	6.25
315.162	4.25
315.96	2.25
316.758	5.25
317.556	2.25
318.353	1.25
319.151	8.25
319.949	4.25
320.746	5.25
321.544	6.25
322.341	9.25
323.139	9.25
323.936	3.25
324.734	-0.75
325.531	4.25
326.328	5.25
327.125	6.25
327.922	9.25
328.719	6.25
329.516	7.25
330.313	8.25
331.11	7.25
331.907	3.25
332.703	5.25
333.5	5.25
334.297	6.25
335.093	3.25
335.89	2.25
336.686	5.25
337.482	4.25
338.279	7.25
339.075	7.25
339.871	6.25
340.667	5.25
341.463	6.25
342.259	5.25
343.055	6.25
343.851	7.25
344.646	4.25
345.442	9.25
346.238	6.25
347.033	8.25
347.829	7.25
348.624	5.25
349.42	5.25
350.215	5.25
351.01	4.25
351.805	2.25
352.601	6.25
353.396	4.25
354.191	5.25
354.986	8.25
355.781	8.25
356.575	7.25
357.37	5.25
358.165	4.25
